,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Course Grade Distribution - Summer 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Summer 2022 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Run Date: Sep 16, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM Analysis and Reporting,,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,P,PI,S,SI,U,W,WF
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total
,,54800,Comm Science To The Public,202230,Summer 2022,001,29332,"Forbes, Beth A.",66.7%,20.0%,,,6.7%,,6.7%,,,,,,,,,,,,,,,,,
,,58500,Science Communication,202230,Summer 2022,001,31444,"Pfeiffer, Linda J.",33.3%,8.3%,41.7%,,,,,16.7%,,,,,,,,,,,,,,,,
ASL,ASL-American Sign Language,10100,American Sign Lang I,202230,Summer 2022,016,31728,"Barrett, Michael A.",33.3%,46.7%,,,13.3%,6.7%,,,,,,,,,,,,,,,,,,
,,,,,,017,32014,"Borkowski, Sharon L.",33.3%,26.7%,,,20.0%,6.7%,13.3%,,,,,,,,,,,,,,,,,
,,,,,,018,32015,"Borkowski, Sharon L.",46.7%,13.3%,20.0%,,13.3%,,6.7%,,,,,,,,,,,,,,,,,
,,,,,,019,32016,"Mowl, Rita M.",21.4%,28.6%,7.1%,,,7.1%,21.4%,,,7.1%,,,,,7.1%,,,,,,,,,
,,,,,,020,32017,"Mowl, Rita M.",6.3%,25.0%,12.5%,,25.0%,18.8%,,6.3%,,6.3%,,,,,,,,,,,,,,
,,10200,American Sign Lang II,202230,Summer 2022,003,31729,"Shay, Robin A.",,13.3%,,,13.3%,20.0%,13.3%,,6.7%,13.3%,,,,,,,,,,,,,20.0%,
,,20100,American Sign Lang III,202230,Summer 2022,001,31771,"Kothari, Sagar P.",14.3%,14.3%,7.1%,,7.1%,,28.6%,7.1%,7.1%,,,,,,,,,,,,,,14.3%,
AT,AT-Aviation Technology,14400,Private Pilot Lectures,202230,Summer 2022,003,29653,"Flores, Abner D.",6.9%,3.4%,72.4%,,3.4%,,10.3%,,,,,,,,,3.4%,,,,,,,,
,,21100,Ground Trainer II,202230,Summer 2022,044,29845,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,100.0%,,,,,,
,,24302,Comm Flight I Fed Aviatn Reg,202230,Summer 2022,037,29846,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,42.9%,57.1%,,,,,
,,25302,Instrumnt Flight Fed AviatnReg,202230,Summer 2022,035,29847,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,100.0%,,,,,
,,35100,Flt Instructor Flt,202230,Summer 2022,001,29841,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,50.0%,50.0%,,,,,
,,49600,Applied Research Proposal,202230,Summer 2022,001,10976,"Ropp, Timothy D.",100.0%,,,,,,,,,,,,,,,,,,,,,,,
,,49700,Applied Resrch Project,202230,Summer 2022,002,10993,"Ropp, Timothy D.",100.0%,,,,,,,,,,,,,,,,,,,,,,,
BCHM,BCHM-Biochemistry,30700,Biochemistry,202230,Summer 2022,Y01,27331,"Hart, Orla M.",50.4%,,,,38.6%,,,4.7%,,,0.8%,,,,4.7%,,,,,,,,0.8%,
BIOL,BIOL-Biological Sciences,11000,Fundamentals Biol I,202230,Summer 2022,001,13192,"Browning, Mark E.",11.1%,,,,22.2%,5.6%,,11.1%,,11.1%,5.6%,5.6%,11.1%,,11.1%,5.6%,,,,,,,,
,,11100,Fundamentals Biol II,202230,Summer 2022,001,31615,"Humphrey, Sean E.",21.1%,,26.3%,,26.3%,,21.1%,,,5.3%,,,,,,,,,,,,,,
,,12100,Biol I Divrs Ecol Behv,202230,Summer 2022,001,13597,"Schumacher, Grace A.",23.1%,,,,25.0%,,17.3%,9.6%,,7.7%,5.8%,,3.8%,,5.8%,,,,,,,,1.9%,
,,20300,Human Antmy & Physiol,202230,Summer 2022,005,31643,"Kolo, Lisa P.",4.1%,10.2%,,,14.3%,8.2%,8.2%,12.2%,10.2%,16.3%,4.1%,,10.2%,,2.0%,,,,,,,,,
,,20400,Human Antmy & Physiol,202230,Summer 2022,001,30449,"Stillman, Lisa",2.2%,,,,22.2%,28.9%,,17.8%,2.2%,17.8%,,,6.7%,,,,,,,,,,2.2%,
,,22100,Intro To Microbiology,202230,Summer 2022,001,31427,"Torres Luquis, Odalys J.",44.4%,5.6%,,,27.8%,11.1%,,5.6%,,,,,,,,,,,,,,,5.6%,
,,23100,Bio III Cell Strct Fnc,202230,Summer 2022,001,20995,"Humphrey, Sean E.",52.5%,,26.3%,,5.1%,,14.1%,,,1.0%,,,,,,,,,,,,,1.0%,
,,28600,Intro To Ecol & Evol,202230,Summer 2022,001,10956,"Lucas, Jeffrey R.",13.5%,,,,8.1%,8.1%,8.1%,18.9%,16.2%,13.5%,2.7%,,,,2.7%,,,,,,,,8.1%,
,,39500,Exp Dsgn&Quant Analys I-Honors,202230,Summer 2022,H01,12227,"Fernandez-Juricic, Esteban",58.3%,1.4%,18.1%,,8.3%,2.8%,4.2%,1.4%,,1.4%,,,,,4.2%,,,,,,,,,
,,42000,Eukaryotic Cell Biol,202230,Summer 2022,001,23761,"Aguilar, Ruben C.",88.5%,,,,3.8%,,,7.7%,,,,,,,,,,,,,,,,
BME,BME-Biomedical Engineering,56300,Regulatory Compliance,202230,Summer 2022,OL1,31066,"Lottes, Aaron E.",50.0%,27.8%,11.1%,,,,5.6%,,,,5.6%,,,,,,,,,,,,,
,,69699,BME Prof Grad Internship,202230,Summer 2022,001,12242,"Brightman, Andrew O.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
CE,CE-Civil Engineering,29202,Contemporary Issues In CE,202230,Summer 2022,001,29690,"Tompkins, John C.",83.3%,,,,16.7%,,,,,,,,,,,,,,,,,,,
,,29900,Dvlp Infrstr Tmrw: Intro To CE,202230,Summer 2022,003,28801,"Khalifah, Susan M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,
,,39201,Technical Communication In CE,202230,Summer 2022,001,29691,"Tompkins, John C.",88.2%,,,,,,,2.9%,,,,,,,2.9%,2.9%,,,,,,,2.9%,
,,39699,Prof Practice Internship,202230,Summer 2022,001,11767,"Heath, Kathy M.",,,,,,,,,,,,,,,,,,,,92.3%,7.7%,,,
,,59700,Plastics In Infrstrctre&Enviro,202230,Summer 2022,OL1,31437,"Whelton, Andrew J.",83.3%,8.3%,,,,,,,,,,,,,,,,,,,,,8.3%,
,,59800,Gr Professional Intern,202230,Summer 2022,019,27904,"Cai, Hubo",,,,,,,,,,,,,,,,,,,,100.0%,,,,
CEM,CEM-Construction Engr & Mgmt,19100,Construct Internship I,202230,Summer 2022,001,10759,"Fulk, Brandon M.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
,,29100,Construct Internshp II,202230,Summer 2022,001,10760,"Fulk, Brandon M.",,,,,,,,,,,,,,,,,,,,96.7%,,3.3%,,
,,39100,Construct Intern III,202230,Summer 2022,001,10761,"Fulk, Brandon M.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
CGT,CGT-Computer Graphics Tech,14100,"Internet Found,Tch&Dev",202230,Summer 2022,Y01,22760,"Morales, Carlos R.",45.5%,,45.5%,,,,,9.1%,,,,,,,,,,,,,,,,
,,16300,Graphical Comm & Spatial Anly,202230,Summer 2022,006,29020,"Fuerst, Travis J.",34.5%,26.2%,13.1%,1.2%,1.2%,1.2%,6.0%,2.4%,,,1.2%,,1.2%,,2.4%,,,,,,,,9.5%,
,,,,,,007,30124,"Fuerst, Travis J.",16.9%,21.5%,13.8%,,4.6%,4.6%,12.3%,1.5%,4.6%,3.1%,,1.5%,,,4.6%,1.5%,,,,,,,9.2%,
,,16400,Graphics For CE &Const,202230,Summer 2022,001,31242,"Cory, Clark A.",9.5%,,23.8%,,23.8%,,,19.0%,,,,,,,,,,,,,,,23.8%,
,,,,,,002,31244,"Cory, Clark A.",22.2%,,16.7%,,16.7%,,,22.2%,,,16.7%,,,,,,,,,,,,5.6%,
CHE,CHE-Chemical Engineering,20500,Ch Engr Calculations,202230,Summer 2022,001,23769,"Harris, Michael T.",5.9%,5.9%,11.8%,,11.8%,11.8%,17.6%,5.9%,,17.6%,,,,,5.9%,,,,,,,,5.9%,
,,59700,Prof MS Capstone Project,202230,Summer 2022,027,28302,"Clark, William R.",50.0%,,28.6%,,3.6%,,14.3%,,,3.6%,,,,,,,,,,,,,,
CHM,CHM-Chemistry,11200,General Chemistry,202230,Summer 2022,001,30011,"Harwood, Cynthia A.",27.5%,,9.8%,,33.3%,,,17.6%,,,2.0%,,,,9.8%,,,,,,,,,
,,11500,General Chemistry,202230,Summer 2022,002,29180,"Rienstra-Kiracofe, Jonathan C.",9.2%,9.2%,,,8.3%,17.5%,12.5%,6.7%,5.8%,15.8%,0.8%,,3.3%,,6.7%,,,,,,,,4.2%,
,,,,,,018,31013,"Rienstra-Kiracofe, Jonathan C.",7.7%,7.7%,,,15.4%,7.7%,7.7%,15.4%,7.7%,23.1%,,,,,,,,,,,,,7.7%,
,,11600,General Chemistry,202230,Summer 2022,006,10830,"Conklin, Jeanine A.",9.2%,6.5%,,,9.2%,8.7%,13.0%,7.6%,4.3%,12.0%,2.7%,2.7%,6.0%,,10.3%,,,,,,,,7.6%,
,,25500,Organic Chemistry,202230,Summer 2022,001,22088,"Kalb, Annah E.",25.9%,,5.6%,,13.0%,,7.4%,25.9%,,9.3%,9.3%,,1.9%,,1.9%,,,,,,,,,
,,25501,Organic Chem Lab,202230,Summer 2022,002,29196,"Alfar, Rami A.",64.7%,,,,29.4%,,,5.9%,,,,,,,,,,,,,,,,
,,25600,Organic Chemistry,202230,Summer 2022,001,29194,"Kern, Mallory K.",35.8%,,25.4%,,13.4%,,6.0%,9.0%,,4.5%,1.5%,,,,4.5%,,,,,,,,,
,,,Organic Chemistry-Honors,202230,Summer 2022,001,29194,"Kern, Mallory K.",100.0%,,,,,,,,,,,,,,,,,,,,,,,
,,69500,Chemistry Grant Writing,202230,Summer 2022,001,32898,"Bond, Sally J.",,,,,,,,,,,,,,,,,,,,87.5%,12.5%,,,
,,69900,Research PhD Thesis,202230,Summer 2022,007,10854,"Cooks, Robert G.",,,,,,,,,,,,,,,,,,,,91.7%,,8.3%,,
,,,,,,017,10864,"Kenttamaa, Hilkka I.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
,,,,,,024,10871,"Dai, Mingji",,,,,,,,,,,,,,,,,,,,100.0%,,,,
,,,,,,025,10872,"Uyeda, Christopher H.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
,,,,,,054,19028,"Laskin, Julia",,,,,,,,,,,,,,,,,,,,100.0%,,,,
